姓名（必填）,所屬分店（必填：南京店/松江店/西門店/七張店）,職稱,排序（數字，小在前）,學歷（多筆用 | 分隔）,個人簡介,專長（多筆用 | 分隔）,證照（多筆用 | 分隔）,經歷（多筆用 | 分隔）,照片檔名,上架顯示（Y/N）
王韻婷,松江店,資深教練,2,國立體育大學運動保健學系|長庚大學物理治療系,"專精中高齡肌力訓練與術後復健，相信「健康是練出來的」；擅長把複雜動作拆成長輩也能安心完成的步驟。",肌力訓練|體態調整|銀髮訓練|術後復健,ACE-CPT|物理治療師證照|FMS Level 2,練健康資深教練|前國泰醫院物理治療師,wang-yunting.jpg,Y
李哲宇,南京店,物理治療師,1,長庚大學物理治療系,"擅長術後復健與體態評估，讓學員在安全前提下重建肌力。",術後復健|體態調整|運動傷害防護,物理治療師證照|Stott Pilates Mat|ACE-CPT,前復健科物理治療師|練健康教練,li-zheyu.jpg,Y
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
